version,description,n_words,fold,vocabulary_size,training_documents,training_spam,training_ham,testing_documents,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,prior_spam,prior_ham,spam_word_positions,ham_word_positions
lemm,"Lemmatized, stop-words included",5000,1,5000,2604,433,2171,289,282,0.9757785467128027,47,235,6,1,0.8867924528301887,0.9791666666666666,0.1662826420890937,0.8337173579109063,229386,863962
lemm,"Lemmatized, stop-words included",5000,2,5000,2604,433,2171,289,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.1662826420890937,0.8337173579109063,231544,837407
lemm,"Lemmatized, stop-words included",5000,3,5000,2604,433,2171,289,284,0.9826989619377162,48,236,5,0,0.9056603773584906,1.0,0.1662826420890937,0.8337173579109063,217385,838856
lemm,"Lemmatized, stop-words included",5000,4,5000,2604,433,2171,289,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.1662826420890937,0.8337173579109063,227236,837119
lemm,"Lemmatized, stop-words included",5000,5,5000,2603,433,2170,290,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.16634652324241261,0.8336534767575874,235462,836380
lemm,"Lemmatized, stop-words included",5000,6,5000,2604,433,2171,289,289,1.0,48,241,0,0,1.0,1.0,0.1662826420890937,0.8337173579109063,209409,825930
lemm,"Lemmatized, stop-words included",5000,7,5000,2604,433,2171,289,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.1662826420890937,0.8337173579109063,224576,825339
lemm,"Lemmatized, stop-words included",5000,8,5000,2604,433,2171,289,280,0.9688581314878892,48,232,9,0,0.8421052631578947,1.0,0.1662826420890937,0.8337173579109063,236778,855944
lemm,"Lemmatized, stop-words included",5000,9,5000,2604,433,2171,289,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.1662826420890937,0.8337173579109063,227369,831534
lemm,"Lemmatized, stop-words included",5000,10,5000,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,238349,807654
lemm,"Lemmatized, stop-words included",all,1,46653,2604,433,2171,289,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.1662826420890937,0.8337173579109063,243314,969425
lemm,"Lemmatized, stop-words included",all,2,46221,2604,433,2171,289,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.1662826420890937,0.8337173579109063,245533,940521
lemm,"Lemmatized, stop-words included",all,3,46158,2604,433,2171,289,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.1662826420890937,0.8337173579109063,230841,942221
lemm,"Lemmatized, stop-words included",all,4,45345,2604,433,2171,289,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.1662826420890937,0.8337173579109063,240636,937828
lemm,"Lemmatized, stop-words included",all,5,45930,2603,433,2170,290,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.16634652324241261,0.8336534767575874,249144,937828
lemm,"Lemmatized, stop-words included",all,6,46466,2604,433,2171,289,289,1.0,48,241,0,0,1.0,1.0,0.1662826420890937,0.8337173579109063,222865,927880
lemm,"Lemmatized, stop-words included",all,7,46975,2604,433,2171,289,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.1662826420890937,0.8337173579109063,238576,928440
lemm,"Lemmatized, stop-words included",all,8,46400,2604,433,2171,289,283,0.9792387543252595,48,235,6,0,0.8888888888888888,1.0,0.1662826420890937,0.8337173579109063,250788,960270
lemm,"Lemmatized, stop-words included",all,9,46427,2604,433,2171,289,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.1662826420890937,0.8337173579109063,240797,933978
lemm,"Lemmatized, stop-words included",all,10,46052,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,251594,907061
