version,n_words,training_size_percent,lambda,fold,training_documents,vocabulary_size,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,TCR
stop,all,10,9,9,261,14516,289,48,241,281,0.972318339100346,40,241,0,8,1.0,0.8333333333333334,0.9963915200721696,6.0
stop,all,10,99,9,261,14516,289,48,241,281,0.972318339100346,40,241,0,8,1.0,0.8333333333333334,0.9996653699753211,6.0
stop,all,10,1,10,261,14651,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,16.333333333333332
stop,all,10,9,10,261,14651,291,49,242,287,0.9862542955326461,45,242,0,4,1.0,0.9183673469387755,0.9982038616973506,12.25
stop,all,10,99,10,261,14651,291,49,242,286,0.9828178694158075,44,242,0,5,1.0,0.8979591836734694,0.999791727412838,9.8
stop,all,20,1,1,522,21245,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9896193771626297,16.0
stop,all,20,9,1,522,21245,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,4.8
stop,all,20,99,1,522,21245,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.48
stop,all,20,1,2,522,21629,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,24.0
stop,all,20,9,2,522,21629,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9995489400090212,48.0
stop,all,20,99,2,522,21629,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9999581712469151,48.0
stop,all,20,1,3,522,21458,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9965397923875432,48.0
stop,all,20,9,3,522,21458,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9995489400090212,48.0
stop,all,20,99,3,522,21458,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9999581712469151,48.0
stop,all,20,1,4,522,21378,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,24.0
stop,all,20,9,4,522,21378,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,4.8
stop,all,20,99,4,522,21378,289,48,241,286,0.9896193771626297,46,240,1,2,0.9787234042553191,0.9583333333333334,0.9957752959384281,0.4752475247524752
stop,all,20,1,5,522,21302,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.996551724137931,48.0
stop,all,20,9,5,522,21302,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.9995507637017071,48.0
stop,all,20,99,5,522,21302,290,48,242,286,0.9862068965517241,44,242,0,4,1.0,0.9166666666666666,0.9998333749895859,12.0
stop,all,20,1,6,522,21460,289,48,241,285,0.986159169550173,44,241,0,4,1.0,0.9166666666666666,0.986159169550173,12.0
stop,all,20,9,6,522,21460,289,48,241,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.997744700045106,9.6
stop,all,20,99,6,522,21460,289,48,241,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.9997908562345756,9.6
stop,all,20,1,7,522,21442,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,24.0
stop,all,20,9,7,522,21442,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9995489400090212,48.0
stop,all,20,99,7,522,21442,289,48,241,287,0.9930795847750865,46,241,0,2,1.0,0.9583333333333334,0.9999163424938302,24.0
stop,all,20,1,8,522,21444,289,48,241,282,0.9757785467128027,47,235,6,1,0.8867924528301887,0.9791666666666666,0.9757785467128027,6.857142857142857
stop,all,20,9,8,522,21444,289,48,241,285,0.986159169550173,46,239,2,2,0.9583333333333334,0.9583333333333334,0.990978800180424,2.4
stop,all,20,99,8,522,21444,289,48,241,284,0.9826989619377162,45,239,2,3,0.9574468085106383,0.9375,0.991592420629941,0.23880597014925373
stop,all,20,1,9,522,22049,289,48,241,282,0.9757785467128027,41,241,0,7,1.0,0.8541666666666666,0.9757785467128027,6.857142857142857
stop,all,20,9,9,522,22049,289,48,241,282,0.9757785467128027,41,241,0,7,1.0,0.8541666666666666,0.9968425800631484,6.857142857142857
stop,all,20,99,9,522,22049,289,48,241,282,0.9757785467128027,41,241,0,7,1.0,0.8541666666666666,0.9997071987284059,6.857142857142857
stop,all,20,1,10,522,21196,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,16.333333333333332
stop,all,20,9,10,522,21196,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.998652896273013,16.333333333333332
stop,all,20,99,10,522,21196,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9998750364477027,16.333333333333332
stop,all,30,1,1,783,26373,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,24.0
stop,all,30,9,1,783,26373,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,4.8
stop,all,30,99,1,783,26373,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.48
stop,all,30,1,2,783,25701,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9896193771626297,16.0
stop,all,30,9,2,783,25701,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9914298601714028,2.526315789473684
stop,all,30,99,2,783,25701,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9916760781361108,0.24120603015075376
stop,all,30,1,3,783,26527,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.986159169550173,12.0
stop,all,30,9,3,783,26527,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9878213802435724,1.7777777777777777
stop,all,30,99,3,783,26527,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9875350315807085,0.1610738255033557
