version,n_words,lambda,fold,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,baseline_weighted_accuracy,TCR
stop,5000,1,3,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.986159169550173,0.8339100346020761,12.0
stop,5000,9,3,289,48,241,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.9833107803337844,0.9783491204330176,1.2972972972972974
stop,5000,99,3,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9875350315807085,0.9979922198519262,0.1610738255033557
stop,5000,1,4,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.986159169550173,0.8339100346020761,12.0
stop,5000,9,4,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.9837618403247632,0.9783491204330176,1.3333333333333333
stop,5000,99,4,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9917179068891956,0.9979922198519262,0.24242424242424243
stop,5000,1,5,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.996551724137931,0.8344827586206897,48.0
stop,5000,9,5,290,48,242,286,0.9862068965517241,44,242,0,4,1.0,0.9166666666666666,0.9982030548068284,0.9784366576819407,12.0
stop,5000,99,5,290,48,242,286,0.9862068965517241,44,242,0,4,1.0,0.9166666666666666,0.9998333749895859,0.9980004998750313,12.0
stop,5000,1,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.8339100346020761,inf
stop,5000,9,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9783491204330176,inf
stop,5000,99,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9979922198519262,inf
stop,5000,1,7,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,0.8339100346020761,24.0
stop,5000,9,7,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,0.9783491204330176,4.8
stop,5000,99,7,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9999581712469151,0.9979922198519262,48.0
stop,5000,1,8,289,48,241,283,0.9792387543252595,48,235,6,0,0.8888888888888888,1.0,0.9792387543252595,0.8339100346020761,8.0
stop,5000,9,8,289,48,241,284,0.9826989619377162,48,236,5,0,0.9056603773584906,1.0,0.979702300405954,0.9783491204330176,1.0666666666666667
stop,5000,99,8,289,48,241,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.9833939850253064,0.9979922198519262,0.12090680100755667
stop,5000,1,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9757785467128027,0.8339100346020761,6.857142857142857
stop,5000,9,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.993234100135318,0.9783491204330176,3.2
stop,5000,99,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9956079809260886,0.9979922198519262,0.45714285714285713
stop,5000,1,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,0.8316151202749141,16.333333333333332
stop,5000,9,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.998652896273013,0.9779973057925461,16.333333333333332
stop,5000,99,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9998750364477027,0.9979589286458116,16.333333333333332
stop,all,1,1,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,0.8339100346020761,24.0
stop,all,9,1,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,0.9783491204330176,4.8
stop,all,99,1,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.9979922198519262,0.48
stop,all,1,2,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9896193771626297,0.8339100346020761,16.0
stop,all,9,2,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9878213802435724,0.9783491204330176,1.7777777777777777
stop,all,99,2,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9875350315807085,0.9979922198519262,0.1610738255033557
stop,all,1,3,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9930795847750865,0.8339100346020761,24.0
stop,all,9,3,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9918809201623816,0.9783491204330176,2.6666666666666665
stop,all,99,3,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9916760781361108,0.9979922198519262,0.24120603015075376
stop,all,1,4,289,48,241,288,0.9965397923875432,48,240,1,0,0.9795918367346939,1.0,0.9965397923875432,0.8339100346020761,48.0
stop,all,9,4,289,48,241,288,0.9965397923875432,48,240,1,0,0.9795918367346939,1.0,0.9959404600811907,0.9783491204330176,5.333333333333333
stop,all,99,4,289,48,241,288,0.9965397923875432,48,240,1,0,0.9795918367346939,1.0,0.9958589534445978,0.9979922198519262,0.48484848484848486
stop,all,1,5,290,48,242,290,1.0,48,242,0,0,1.0,1.0,1.0,0.8344827586206897,inf
stop,all,9,5,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.9995507637017071,0.9784366576819407,48.0
stop,all,99,5,290,48,242,288,0.993103448275862,46,242,0,2,1.0,0.9583333333333334,0.999916687494793,0.9980004998750313,24.0
stop,all,1,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.8339100346020761,inf
stop,all,9,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9783491204330176,inf
stop,all,99,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9979922198519262,inf
stop,all,1,7,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9965397923875432,0.8339100346020761,48.0
stop,all,9,7,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9995489400090212,0.9783491204330176,48.0
